Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú,Ghi chú
K69I-IT1,UET1002,Kỹ năng khởi nghiệp,2,30,,,9,60,UET1002 1,CL,LT,6,2,302-B,Hoàng Thị Hải Yến,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IT2,UET1002,Kỹ năng khởi nghiệp,2,30,,,9,60,UET1002 2,CL,LT,6,3,207-B,Hoàng Thị Hải Yến,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IT3,INT3103,Tối ưu hóa,3,30,15,,1,60,INT3103 1,CL,LT,3,1,405-B,Đỗ Đức Đông,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT4,INT3103,Tối ưu hóa,3,30,15,,1,60,INT3103 2,CL,LT,5,4,507-B,Đỗ Đức Đông,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT5,INT3418,Thuật toán nâng cao và ứng dụng,3,45,,,1,60,INT3418 1,CL,LT,5,1,103-A,Trần Thị Minh Châu,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT6,INT3418,Thuật toán nâng cao và ứng dụng,3,45,,,1,60,INT3418 2,CL,LT,6,4,301-B,Trần Thị Minh Châu,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,65,PEC1008 1,CL,LT,4,3,503-B,Ngô Thái Hà,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS2,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,65,PEC1008 2,CL,LT,2,4,107-B,Nguyễn Thị Hồng Sâm,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS3,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,65,PEC1008 3,CL,LT,4,2,508-B,Ngô Thái Hà,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS4,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,65,PEC1008 4,CL,LT,3,2,409-B,Nguyễn Thị Hạnh,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS5,PEC1008,Kinh tế chính trị Mác – Lênin,2,20,10,,9,65,PEC1008 5,CL,LT,2,2,209-B,Hoàng Ngọc Quang,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS1,THL1057,Nhà nước và Pháp luật đại cương,2,20,10,,9,65,THL1057 1,CL,ONL,,,ONL,Viện Khảo thí,Tự học,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS2,THL1057,Nhà nước và Pháp luật đại cương,2,20,10,,9,65,THL1057 1,CL,ONL,,,ONL,Viện Khảo thí,Tự học,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS3,THL1057,Nhà nước và Pháp luật đại cương,2,20,10,,9,65,THL1057 1,CL,ONL,,,ONL,Viện Khảo thí,Tự học,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS4,THL1057,Nhà nước và Pháp luật đại cương,2,20,10,,9,65,THL1057 1,CL,ONL,,,ONL,Viện Khảo thí,Tự học,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS5,THL1057,Nhà nước và Pháp luật đại cương,2,20,10,,9,65,THL1057 1,CL,ONL,,,ONL,Viện Khảo thí,Tự học,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CS1,ELT2035,Tín hiệu và hệ thống,3,45,,,2,65,ELT2035 7,CL,LT,3,2,203-B,Lê Vũ Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,ELT2035,Tín hiệu và hệ thống,3,45,,,2,65,ELT2035 8,CL,LT,4,1,204-B,Nguyễn Hồng Thịnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,ELT2035,Tín hiệu và hệ thống,3,45,,,2,65,ELT2035 9,CL,LT,4,3,107-B,Lưu Mạnh Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS4,ELT2035,Tín hiệu và hệ thống,3,45,,,2,65,ELT2035 10,CL,LT,2,4,307-B,Lưu Mạnh Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,ELT2035,Tín hiệu và hệ thống,3,45,,,2,65,ELT2035 11,CL,LT,6,4,405-B,Lưu Mạnh Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,INT2213,Mạng máy tính,4,45,,,1,65,INT2213 7,CL,LT,7,3,105-B,Nguyễn Hoài Sơn,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,INT2213,Mạng máy tính,4,,30,,1,65,INT2213 7,CL,TH,5,2,207-A,Nguyễn Thái Dương+Đỗ Quang Huy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,INT2213,Mạng máy tính,4,45,,,1,65,INT2213 8,CL,LT,5,3,102-B,Trần Trúc Mai,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,INT2213,Mạng máy tính,4,,30,,1,65,INT2213 8,CL,TH,3,2,507-A,Đào Minh Thư+Đỗ Quang Huy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,INT2213,Mạng máy tính,4,45,,,1,65,INT2213 9,CL,LT,6,3,206-B,Hoàng Xuân Tùng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,INT2213,Mạng máy tính,4,,30,,1,65,INT2213 9,CL,TH,2,2,504-A,Đào Minh Thư,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS4,INT2213,Mạng máy tính,4,45,,,1,65,INT2213 10,CL,LT,4,3,102-B,Nguyễn Ngọc Tân,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS4,INT2213,Mạng máy tính,4,,30,,1,65,INT2213 10,CL,TH,5,3,304-A,Nguyễn Thái Dương,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,INT2213,Mạng máy tính,4,45,,,1,65,INT2213 11,CL,LT,4,1,401-B,Đặng Minh Công,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,INT2213,Mạng máy tính,4,,30,,1,65,INT2213 11,CL,TH,5,3,507-A,Vũ Đức Trung+Bùi Đức Hải,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,INT2208,Công nghệ phần mềm,3,45,,,1,65,INT2208 7,CL,LT,5,1,203-B,Phạm Ngọc Hùng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,INT2208,Công nghệ phần mềm,3,45,,,1,65,INT2208 8,CL,LT,6,3,510-B,Lê Khánh Trình,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,INT2208,Công nghệ phần mềm,3,45,,,1,65,INT2208 9,CL,LT,5,3,107-B,Nguyễn Đức Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS4,INT2208,Công nghệ phần mềm,3,45,,,1,65,INT2208 10,CL,LT,6,4,406-B,Lê Khánh Trình,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,INT2208,Công nghệ phần mềm,3,45,,,1,65,INT2208 11,CL,LT,3,3,301-B,Vũ Thị Hồng Nhạn,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,INT3425,Khoa học dữ liệu,3,45,,,1,65,INT3425 1,CL,LT,4,2,103-A,Nguyễn Việt Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,INT3425,Khoa học dữ liệu,3,45,,,1,65,INT3425 2,CL,LT,5,4,102-B,Phan Xuân Hiếu,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,INT3425,Khoa học dữ liệu,3,45,,,1,65,INT3425 3,CL,LT,4,1,107-B,Mẫn Đức Chức,,"Học 1 ca/15 tuần, thi đợt 2"
